product_class,Month,sales_volume
C1008,9/1/2016,36128
C1008,10/1/2016,39904
C1008,11/1/2016,35643
C1008,12/1/2016,41855
C1008,1/1/2017,43485
C1008,2/1/2017,37335
C1008,3/1/2017,42070
C1008,4/1/2017,43215
C1008,5/1/2017,43846
C1008,6/1/2017,43125
C1008,7/1/2017,50086
C1010,1/1/2013,69791
C1010,2/1/2013,66176
C1010,3/1/2013,74812
C1010,4/1/2013,73269
C1010,5/1/2013,76844
C1010,6/1/2013,75097
C1010,7/1/2013,77101
C1010,8/1/2013,76853
C1010,9/1/2013,76897
C1010,10/1/2013,78315
C1010,11/1/2013,77389
C1010,12/1/2013,93741
C1010,1/1/2014,68866
C1010,2/1/2014,65907
C1010,3/1/2014,76732
C1010,4/1/2014,70362
C1010,5/1/2014,69892
C1010,6/1/2014,72901
C1010,7/1/2014,74808
C1010,8/1/2014,81340
C1010,9/1/2014,76374
C1010,10/1/2014,83093
C1010,11/1/2014,85849
C1010,12/1/2014,131434
C1010,1/1/2015,84434
C1010,2/1/2015,79113
C1010,3/1/2015,90629
C1010,4/1/2015,92149
C1010,5/1/2015,98140
C1010,6/1/2015,96685
C1010,7/1/2015,94789
C1010,8/1/2015,92394
C1010,9/1/2015,93340
C1010,10/1/2015,92942
C1010,11/1/2015,91120
C1010,12/1/2015,125616
C1010,1/1/2016,85737
C1010,2/1/2016,81873
C1010,3/1/2016,89502
C1010,4/1/2016,144571
C1010,5/1/2016,104662
C1010,6/1/2016,85619
C1010,7/1/2016,86865
C1010,8/1/2016,81668
C1010,9/1/2016,86035
C1010,10/1/2016,109408
C1010,11/1/2016,120369
C1010,12/1/2016,153908
C1010,1/1/2017,110619
C1010,2/1/2017,99344
C1010,3/1/2017,112832
C1010,4/1/2017,117284
C1010,5/1/2017,123938
C1010,6/1/2017,113642
C1010,7/1/2017,137171
C1012,1/1/2013,68872
C1012,2/1/2013,64942
C1012,3/1/2013,76677
C1012,4/1/2013,74091
C1012,5/1/2013,74658
C1012,6/1/2013,76148
C1012,7/1/2013,74635
C1012,8/1/2013,77503
C1012,9/1/2013,79878
C1012,10/1/2013,76104
C1012,11/1/2013,75489
C1012,12/1/2013,104090
C1012,1/1/2014,74113
C1012,2/1/2014,71569
C1012,3/1/2014,82639
C1012,4/1/2014,73350
C1012,5/1/2014,82602
C1012,6/1/2014,78168
C1012,7/1/2014,75740
C1012,8/1/2014,78417
C1012,9/1/2014,75819
C1012,10/1/2014,78783
C1012,11/1/2014,78961
C1012,12/1/2014,99234
C1012,1/1/2015,77068
C1012,2/1/2015,72188
C1012,3/1/2015,81811
C1012,4/1/2015,74593
C1012,5/1/2015,86465
C1012,6/1/2015,78957
C1012,7/1/2015,82241
C1012,8/1/2015,88186
C1012,9/1/2015,88042
C1012,10/1/2015,87702
C1012,11/1/2015,91959
C1012,12/1/2015,101144
C1012,1/1/2016,78570
C1012,2/1/2016,71471
C1012,3/1/2016,79137
C1012,4/1/2016,113116
C1012,5/1/2016,86489
C1012,6/1/2016,70456
C1012,7/1/2016,75917
C1012,8/1/2016,72140
C1012,9/1/2016,71948
C1012,10/1/2016,78366
C1012,11/1/2016,82425
C1012,12/1/2016,99414
C1012,1/1/2017,72391
C1012,2/1/2017,66517
C1012,3/1/2017,75801
C1012,4/1/2017,78825
C1012,5/1/2017,73495
C1012,6/1/2017,70434
C1012,7/1/2017,74698
C1013,1/1/2013,13181
C1013,2/1/2013,12211
C1013,3/1/2013,12218
C1013,4/1/2013,12278
C1013,5/1/2013,14132
C1013,6/1/2013,13529
C1013,7/1/2013,11699
C1013,8/1/2013,9983
C1013,9/1/2013,7519
C1013,10/1/2013,10941
C1013,11/1/2013,15039
C1013,12/1/2013,17701
C1013,1/1/2014,10231
C1013,2/1/2014,11305
C1013,3/1/2014,11752
C1013,4/1/2014,11896
C1013,5/1/2014,7818
C1013,6/1/2014,10458
C1013,7/1/2014,11959
C1013,8/1/2014,10914
C1013,9/1/2014,9813
C1013,10/1/2014,12486
C1013,11/1/2014,13013
C1013,12/1/2014,24703
C1013,1/1/2015,12826
C1013,2/1/2015,11039
C1013,3/1/2015,12626
C1013,4/1/2015,11850
C1013,5/1/2015,9623
C1013,6/1/2015,12130
C1013,7/1/2015,12140
C1013,8/1/2015,11615
C1013,9/1/2015,10685
C1013,10/1/2015,9654
C1013,11/1/2015,1286
C1013,12/1/2015,17816
C1013,1/1/2016,7658
C1013,2/1/2016,7610
C1013,3/1/2016,8159
C1013,4/1/2016,20335
C1013,5/1/2016,30677
C1013,6/1/2016,10319
C1013,7/1/2016,10904
C1013,8/1/2016,10150
C1013,9/1/2016,9789
C1013,10/1/2016,10980
C1013,11/1/2016,10769
C1013,12/1/2016,23171
C1013,1/1/2017,10888
C1013,2/1/2017,9924
C1013,3/1/2017,11667
C1013,4/1/2017,10764
C1013,5/1/2017,16277
C1013,6/1/2017,10822
C1013,7/1/2017,11014
C1014,1/1/2013,262625
C1014,2/1/2013,261209
C1014,3/1/2013,311927
C1014,4/1/2013,294266
C1014,5/1/2013,305610
C1014,6/1/2013,310888
C1014,7/1/2013,299706
C1014,8/1/2013,295656
C1014,9/1/2013,288227
C1014,10/1/2013,288381
C1014,11/1/2013,284165
